SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
635,2/03/20,Chongqing,Mainland China,2020-02-03T23:43:02,337,2,9
636,2/03/20,Jiangsu,Mainland China,2020-02-03T11:03:10,271,0,8
637,2/03/20,Shandong,Mainland China,2020-02-03T17:11:34,259,0,7
638,2/03/20,Sichuan,Mainland China,2020-02-03T11:23:23,254,1,14
639,2/03/20,Beijing,Mainland China,2020-02-03T09:23:05,212,1,12
640,2/03/20,Shanghai,Mainland China,2020-02-03T07:03:12,203,1,10
641,2/03/20,Fujian,Mainland China,2020-02-03T11:33:13,179,0,1
642,2/03/20,Shaanxi,Mainland China,2020-02-03T02:33:02,128,0,0
643,2/03/20,Guangxi,Mainland China,2020-02-03T12:33:02,127,0,7
644,2/03/20,Heilongjiang,Mainland China,2020-02-03T07:13:19,121,2,2
645,2/03/20,Yunnan,Mainland China,2020-02-03T23:23:03,117,0,5
646,2/03/20,Hebei,Mainland China,2020-02-03T00:23:14,113,1,3
647,2/03/20,Liaoning,Mainland China,2020-02-03T17:11:34,74,0,1
648,2/03/20,Shanxi,Mainland China,2020-02-03T23:13:11,74,0,2
649,2/03/20,Hainan,Mainland China,2020-02-03T17:11:34,72,1,4
650,2/03/20,Tianjin,Mainland China,2020-02-03T13:53:03,60,0,1
651,2/03/20,Gansu,Mainland China,2020-02-03T23:03:08,55,0,3
652,2/03/20,Guizhou,Mainland China,2020-02-03T01:03:22,46,0,2
653,2/03/20,Inner Mongolia,Mainland China,2020-02-03T03:03:09,34,0,1
654,2/03/20,Jilin,Mainland China,2020-02-03T00:53:03,31,0,1
655,2/03/20,Ningxia,Mainland China,2020-02-03T08:33:03,31,0,1
656,2/03/20,Xinjiang,Mainland China,2020-02-03T01:13:21,24,0,0
657,2/03/20,,Japan,2020-02-01T18:53:03,20,0,1
658,2/03/20,,Thailand,2020-01-31T10:37:00,19,0,5
659,2/03/20,,Singapore,2020-02-02T01:03:32,18,0,0
660,2/03/20,Hong Kong,Hong Kong,2020-02-02T23:53:02,15,0,0
661,2/03/20,,South Korea,2020-02-02T02:23:13,15,0,0
662,2/03/20,Qinghai,Mainland China,2020-02-03T02:43:01,13,0,0
663,2/03/20,,Germany,2020-02-03T20:53:02,12,0,0
664,2/03/20,Taiwan,Taiwan,2020-01-31T15:20:56,10,0,0
665,2/03/20,Macau,Macau,2020-02-02T04:23:14,8,0,0
666,2/03/20,,Malaysia,2020-01-31T08:15:53,8,0,0
667,2/03/20,,Vietnam,2020-02-03T21:43:02,8,0,1
668,2/03/20,,France,2020-02-01T01:52:40,6,0,0
669,2/03/20,,United Arab Emirates,2020-02-02T05:43:01,5,0,0
670,2/03/20,New South Wales,Australia,2020-02-01T18:12:49,4,0,2
671,2/03/20,Victoria,Australia,2020-02-01T18:12:49,4,0,0
672,2/03/20,Ontario,Canada,2020-02-01T18:12:49,3,0,0
673,2/03/20,,India,2020-02-03T21:43:02,3,0,0
674,2/03/20,Queensland,Australia,2020-02-02T22:33:07,2,0,0
675,2/03/20,South Australia,Australia,2020-02-02T22:33:07,2,0,0
676,2/03/20,,Italy,2020-01-31T08:15:53,2,0,0
677,2/03/20,,Philippines,2020-02-02T03:33:07,2,1,0
678,2/03/20,,Russia,2020-01-31T16:13:45,2,0,0
679,2/03/20,,UK,2020-02-01T01:52:40,2,0,0
680,2/03/20,"Chicago, IL",United States of America,2020-02-01T19:43:03,2,0,0
681,2/03/20,"San Benito, CA",United States of America,2020-02-03T03:53:02,2,0,0
682,2/03/20,"Santa Clara, CA",United States of America,2020-02-03T00:43:02,2,0,0
683,2/03/20,,Cambodia,2020-01-31T08:15:53,1,0,0
684,2/03/20,British Columbia,Canada,2020-02-01T18:12:49,1,0,0
685,2/03/20,,Finland,2020-01-31T08:15:53,1,0,0
686,2/03/20,Tibet,Mainland China,2020-02-01T01:52:40,1,0,0
687,2/03/20,,Nepal,2020-01-31T08:15:53,1,0,0
688,2/03/20,,Spain,2020-02-01T23:43:02,1,0,0
689,2/03/20,,Sri Lanka,2020-01-31T08:15:53,1,0,0
690,2/03/20,,Sweden,2020-02-01T02:13:26,1,0,0
691,2/03/20,"Boston, MA",United States of America,2020-02-01T19:43:03,1,0,0
692,2/03/20,"Los Angeles, CA",United States of America,2020-02-01T19:53:03,1,0,0
693,2/03/20,"Orange, CA",United States of America,2020-02-01T19:53:03,1,0,0
